Account_Name,Salesforce_ID,Industry,Geography,CSM,Account_Executive,Contract_Start,Contract_End,ARR,New_ARR,ARR_Delta,Renewal_Outcome,Churned,Churn_Reason,Health_Score_Overall,Health_Label,Health_Support,Health_NPS,Health_Usage,Health_Adoption,Health_Engagement,Health_Risk_Score,Risk_Identified,Account_Summary
Catalyst Capital,001SNPUEVJLZFFL,Media & Entertainment,LATAM,Tyler Henson,Jason Whitmore,2023-02-04,2024-02-04,65000,65000,0,Renewal Flat,No,,88,Green,90,84,75,98,95,83,Integration stalled,CSM: Tyler Henson navigated a champion change successfully; new stakeholder is engaged. AE: Jason Whitmore positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Azure Dynamics,001OTDHHLMH1T93,Media & Entertainment,Southwest US,James Thornton,Alicia Torres,2023-05-12,2024-05-11,502000,604000,102000,Renewal Up,No,,95,Green,97,100,97,85,100,79,None identified,"CSM: James Thornton reports strong adoption and positive QBR outcomes. AE: Alicia Torres closed renewal with a 20% ARR increase. Prediction: Likely to renew. ARR movement: up ($102,000). Health: Green. Outcome: Renewal Up."
Volta Capital,001K63N2QB6GS8G,Energy,Southeast US,Natalie Bergmann,Ryan Callahan,2023-12-18,2024-12-17,637000,721000,84000,Renewal Up,No,,69,Yellow,71,70,74,56,77,71,Budget freeze flagged,"CSM: Natalie Bergmann proactively identified and resolved an integration risk ahead of renewal. AE: Ryan Callahan is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($84,000). Health: Yellow. Outcome: Renewal Up."
Meridian Solutions,001QLDB2UUIJNWP,Financial Services,Australia & NZ,James Thornton,Ethan Graves,2023-05-29,2024-05-28,68000,68000,0,Renewal Flat,No,,89,Green,78,100,99,94,77,98,Single-threaded relationship,CSM: James Thornton established multi-threaded relationships across IT and business units. AE: Ethan Graves is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Parallax Systems,001K7N3BFH024KW,Real Estate,Middle East,Marcus Rivera,Ryan Callahan,2023-06-26,2024-06-25,188000,269000,81000,Renewal Up,No,,77,Green,76,75,73,72,90,91,Budget freeze flagged,"CSM: Marcus Rivera delivered ROI report in Q3; executive team cited measurable value. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($81,000). Health: Green. Outcome: Renewal Up."
Synergy Networks,00164FGWJEYUB19,Manufacturing,Australia & NZ,Natalie Bergmann,Megan Foster,2023-02-21,2024-02-21,157000,0,-157000,Churn,Yes,Poor onboarding led to low adoption and no demonstrated ROI,18,Red,15,10,13,30,25,78,Competitor evaluation in progress,"CSM: Natalie Bergmann maintained regular cadence but could not overcome the executive sponsor departure. AE: Megan Foster engaged VP-level stakeholders late in the cycle with insufficient time to turn it around. Prediction: Account did not renew. Final ARR lost: $157,000. Reason: Poor onboarding led to low adoption and no demonstrated ROI"
Bedrock Cloud,001CGRLXYFU38GL,Technology,Australia & NZ,Lauren Chu,Alicia Torres,2023-11-27,2024-11-26,423000,0,-423000,Churn,Yes,Support response times consistently fell below SLA,40,Red,52,39,38,38,35,52,Missed QBR Q3,"CSM: Lauren Chu flagged risk early but escalation support was delayed. AE: Alicia Torres engaged VP-level stakeholders late in the cycle with insufficient time to turn it around. Prediction: Account did not renew. Final ARR lost: $423,000. Reason: Support response times consistently fell below SLA"
Keystone Partners,0016H0W064W3U1H,Media & Entertainment,Australia & NZ,Natalie Bergmann,Ethan Graves,2023-07-06,2024-07-05,41000,30000,-11000,Renewal Down,No,,62,Yellow,57,58,53,74,70,64,Missed QBR Q3,"CSM: Natalie Bergmann reports strong adoption and positive QBR outcomes. AE: Ethan Graves closed renewal with a 0% ARR increase. Prediction: Likely to renew. ARR movement: down ($11,000). Health: Yellow. Outcome: Renewal Down."
Azure Solutions,001X43WFSQG8X80,Telecommunications,DACH,Sarah Mitchell,Brooke Sanders,2023-08-21,2024-08-20,120000,164000,44000,Renewal Up,No,,56,Yellow,53,59,62,58,52,72,Open critical support tickets,"CSM: Sarah Mitchell proactively identified and resolved an integration risk ahead of renewal. AE: Brooke Sanders closed renewal with a 36% ARR increase. Prediction: Likely to renew. ARR movement: up ($44,000). Health: Yellow. Outcome: Renewal Up."
Nexus Technologies,0019LZS34JTGXNX,Insurance,Southwest US,Lauren Chu,Nathan Webb,2023-03-26,2024-03-25,464000,488000,24000,Renewal Up,No,,87,Green,82,81,96,97,81,85,Champion departure risk,"CSM: Lauren Chu navigated a champion change successfully; new stakeholder is engaged. AE: Nathan Webb closed renewal with a 5% ARR increase. Prediction: Likely to renew. ARR movement: up ($24,000). Health: Green. Outcome: Renewal Up."
Fusion Systems,001SKFFV3XOLEYR,Retail,Northeast US,Aisha Patel,Ryan Callahan,2023-04-03,2024-04-02,157000,174000,17000,Renewal Up,No,,58,Yellow,63,63,50,49,65,61,Low executive engagement,"CSM: Aisha Patel navigated a champion change successfully; new stakeholder is engaged. AE: Ryan Callahan aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($17,000). Health: Yellow. Outcome: Renewal Up."
Indigo Digital,001VUAZXKDQ95G3,Energy,France & Benelux,Priya Nair,Samantha Lowe,2023-02-25,2024-02-25,498000,569000,71000,Renewal Up,No,,70,Yellow,58,76,74,63,82,67,Low NPS score,"CSM: Priya Nair proactively identified and resolved an integration risk ahead of renewal. AE: Samantha Lowe secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($71,000). Health: Yellow. Outcome: Renewal Up."
Vertex Innovations,001S6Y3VG6V5T1D,Real Estate,UK & Ireland,Sarah Mitchell,Nathan Webb,2023-02-20,2024-02-20,476000,572000,96000,Renewal Up,No,,75,Green,87,61,82,76,73,67,Champion departure risk,"CSM: Sarah Mitchell established multi-threaded relationships across IT and business units. AE: Nathan Webb positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($96,000). Health: Green. Outcome: Renewal Up."
Crestview Partners,001J16DVTJA0ASS,Education,Southeast US,Marcus Rivera,Nathan Webb,2023-04-15,2024-04-14,101000,121000,20000,Renewal Up,No,,59,Yellow,59,66,64,54,54,73,Integration stalled,"CSM: Marcus Rivera delivered ROI report in Q3; executive team cited measurable value. AE: Nathan Webb closed renewal with a 19% ARR increase. Prediction: Likely to renew. ARR movement: up ($20,000). Health: Yellow. Outcome: Renewal Up."
Sterling Services,0012RNTJLMZ04X0,Retail,France & Benelux,Priya Nair,Megan Foster,2023-03-16,2024-03-15,164000,183000,19000,Renewal Up,No,,81,Green,87,72,87,79,81,84,None identified,"CSM: Priya Nair reports strong adoption and positive QBR outcomes. AE: Megan Foster is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($19,000). Health: Green. Outcome: Renewal Up."
Sapphire Cloud,001PCHCBN9WSZV8,Retail,Middle East,Connor Walsh,Ryan Callahan,2023-12-12,2024-12-11,453000,602000,149000,Renewal Up,No,,93,Green,100,100,95,88,85,80,Low NPS score,"CSM: Connor Walsh established multi-threaded relationships across IT and business units. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($149,000). Health: Green. Outcome: Renewal Up."
Nexus Works,001IAF92MOVS0CD,Education,Canada,Natalie Bergmann,Samantha Lowe,2023-02-24,2024-02-24,181000,209000,28000,Renewal Up,No,,69,Yellow,61,73,84,60,68,83,Budget freeze flagged,"CSM: Natalie Bergmann proactively identified and resolved an integration risk ahead of renewal. AE: Samantha Lowe positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($28,000). Health: Yellow. Outcome: Renewal Up."
Solara Systems,001SMESJT2JPNRI,Insurance,Nordics,Connor Walsh,Chloe Dupont,2023-06-30,2024-06-29,174000,199000,25000,Renewal Up,No,,46,Red,53,41,46,40,50,58,Open critical support tickets,"CSM: Connor Walsh delivered ROI report in Q3; executive team cited measurable value. AE: Chloe Dupont closed renewal with a 14% ARR increase. Prediction: Likely to renew. ARR movement: up ($25,000). Health: Red. Outcome: Renewal Up."
Apex AI,0013IDY3C7RM6J8,Retail,APAC,Connor Walsh,Brooke Sanders,2023-02-10,2024-02-10,297000,354000,57000,Renewal Up,No,,62,Yellow,79,60,58,59,58,78,Open critical support tickets,"CSM: Connor Walsh reports strong adoption and positive QBR outcomes. AE: Brooke Sanders is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($57,000). Health: Yellow. Outcome: Renewal Up."
Crimson Cloud,001A484NL65UJG1,Technology,Northeast US,Derek Okafor,Samantha Lowe,2023-03-03,2024-03-02,125000,125000,0,Renewal Flat,No,,90,Green,95,83,85,100,87,71,Integration stalled,CSM: Derek Okafor navigated a champion change successfully; new stakeholder is engaged. AE: Samantha Lowe closed renewal with a 0% ARR increase. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Aether Consulting,001QYAHULWJTIQW,Logistics,APAC,Aisha Patel,Brooke Sanders,2023-05-19,2024-05-18,138000,103000,-35000,Renewal Down,No,,74,Yellow,71,87,72,68,74,65,Low NPS score,"CSM: Aisha Patel navigated a champion change successfully; new stakeholder is engaged. AE: Brooke Sanders is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: down ($35,000). Health: Yellow. Outcome: Renewal Down."
Elevate Services,001PNF8F3GR94SZ,Life Sciences,Nordics,Lauren Chu,Ethan Graves,2023-05-14,2024-05-13,353000,460000,107000,Renewal Up,No,,48,Red,52,43,62,45,41,46,Missed QBR Q3,"CSM: Lauren Chu proactively identified and resolved an integration risk ahead of renewal. AE: Ethan Graves aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($107,000). Health: Red. Outcome: Renewal Up."
Solara Services,0017JAE58HUXG2M,Logistics,Nordics,Connor Walsh,Megan Foster,2023-07-27,2024-07-26,449000,532000,83000,Renewal Up,No,,74,Yellow,69,75,85,59,82,60,None identified,"CSM: Connor Walsh established multi-threaded relationships across IT and business units. AE: Megan Foster positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($83,000). Health: Yellow. Outcome: Renewal Up."
Summit Systems,001FILKJXJQ5NV8,Government,Southwest US,Sarah Mitchell,David Kim,2023-02-02,2024-02-02,98000,98000,0,Renewal Flat,No,,97,Green,87,100,100,100,100,81,Open critical support tickets,CSM: Sarah Mitchell reports strong adoption and positive QBR outcomes. AE: David Kim is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Sapphire Services,001B1S9DWD7OI0P,Financial Services,Australia & NZ,Priya Nair,Ryan Callahan,2023-04-01,2024-03-31,58000,74000,16000,Renewal Up,No,,80,Green,86,88,69,86,74,73,Integration stalled,"CSM: Priya Nair navigated a champion change successfully; new stakeholder is engaged. AE: Ryan Callahan positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($16,000). Health: Green. Outcome: Renewal Up."
Quantum Cloud,001Q05PXT6RIDLO,Life Sciences,LATAM,Sarah Mitchell,Ethan Graves,2023-05-30,2024-05-29,25000,31000,6000,Renewal Up,No,,55,Yellow,56,54,60,62,45,67,Champion departure risk,"CSM: Sarah Mitchell reports strong adoption and positive QBR outcomes. AE: Ethan Graves closed renewal with a 24% ARR increase. Prediction: Likely to renew. ARR movement: up ($6,000). Health: Yellow. Outcome: Renewal Up."
Parallax Ventures,0012TG5PIZX3HCW,Manufacturing,Australia & NZ,Tyler Henson,Jason Whitmore,2023-08-20,2024-08-19,177000,111000,-66000,Renewal Down,No,,86,Green,96,79,84,77,98,73,Declining usage trend,"CSM: Tyler Henson proactively identified and resolved an integration risk ahead of renewal. AE: Jason Whitmore positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: down ($66,000). Health: Green. Outcome: Renewal Down."
Keystone AI,001WGABTGDJZ0IF,Telecommunications,LATAM,Aisha Patel,Jason Whitmore,2023-07-20,2024-07-19,118000,169000,51000,Renewal Up,No,,82,Green,79,82,90,93,69,78,Single-threaded relationship,"CSM: Aisha Patel reports strong adoption and positive QBR outcomes. AE: Jason Whitmore aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($51,000). Health: Green. Outcome: Renewal Up."
Summit Services,001QG433E1I1P0B,Energy,Southwest US,James Thornton,Ethan Graves,2023-03-04,2024-03-03,173000,185000,12000,Renewal Up,No,,87,Green,79,88,97,76,96,77,Declining usage trend,"CSM: James Thornton established multi-threaded relationships across IT and business units. AE: Ethan Graves positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($12,000). Health: Green. Outcome: Renewal Up."
Ascend Intelligence,001WH55HEWLGJE2,Government,Nordics,Tyler Henson,Chloe Dupont,2023-07-02,2024-07-01,27000,32000,5000,Renewal Up,No,,55,Yellow,57,70,48,53,51,61,Single-threaded relationship,"CSM: Tyler Henson reports strong adoption and positive QBR outcomes. AE: Chloe Dupont is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($5,000). Health: Yellow. Outcome: Renewal Up."
Stratos Partners,001Z2EI9212PGYM,Real Estate,West Coast US,Connor Walsh,Chloe Dupont,2023-11-03,2024-11-02,27000,27000,0,Renewal Flat,No,,84,Green,93,86,77,89,76,88,Competitor evaluation in progress,CSM: Connor Walsh proactively identified and resolved an integration risk ahead of renewal. AE: Chloe Dupont aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Solara Dynamics,001CFKJNAWNGA41,Life Sciences,UK & Ireland,James Thornton,Ethan Graves,2023-11-25,2024-11-24,71000,0,-71000,Churn,Yes,Product did not meet evolving use-case requirements,33,Red,31,36,30,39,32,81,Low NPS score,"CSM: James Thornton noted declining usage for two quarters; remediation plan was not adopted. AE: Ethan Graves competed against an incumbent re-entry; lost on total cost of ownership. Prediction: Account did not renew. Final ARR lost: $71,000. Reason: Product did not meet evolving use-case requirements"
Cobalt Group,001DXB7GBDGBXNR,Retail,Nordics,Sarah Mitchell,Alicia Torres,2023-07-04,2024-07-03,331000,458000,127000,Renewal Up,No,,90,Green,84,82,100,100,88,100,Champion departure risk,"CSM: Sarah Mitchell proactively identified and resolved an integration risk ahead of renewal. AE: Alicia Torres is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($127,000). Health: Green. Outcome: Renewal Up."
Solara Capital,0017ONZ3JBCK88D,Retail,France & Benelux,Aisha Patel,Brooke Sanders,2023-12-12,2024-12-11,472000,0,-472000,Churn,Yes,Integration with core systems was never completed,36,Red,36,38,48,23,35,59,Integration stalled,"CSM: Aisha Patel flagged risk early but escalation support was delayed. AE: Brooke Sanders offered a significant discount; budget freeze made renewal untenable. Prediction: Account did not renew. Final ARR lost: $472,000. Reason: Integration with core systems was never completed"
Onyx AI,001X5GGOMF9PML9,Life Sciences,APAC,Aisha Patel,Nathan Webb,2023-07-23,2024-07-22,122000,140000,18000,Renewal Up,No,,70,Yellow,76,64,75,74,63,69,Integration stalled,"CSM: Aisha Patel proactively identified and resolved an integration risk ahead of renewal. AE: Nathan Webb closed renewal with a 14% ARR increase. Prediction: Likely to renew. ARR movement: up ($18,000). Health: Yellow. Outcome: Renewal Up."
Apex Capital,001BKAE6A9HL173,Insurance,Nordics,Natalie Bergmann,Samantha Lowe,2023-04-30,2024-04-29,630000,630000,0,Renewal Flat,No,,52,Yellow,49,47,60,57,50,50,Missed QBR Q3,CSM: Natalie Bergmann established multi-threaded relationships across IT and business units. AE: Samantha Lowe secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Ascend Global,001DO7002G3YU6V,Healthcare,LATAM,Tyler Henson,Nathan Webb,2023-01-06,2024-01-06,168000,235000,67000,Renewal Up,No,,60,Yellow,69,64,50,51,68,66,Budget freeze flagged,"CSM: Tyler Henson navigated a champion change successfully; new stakeholder is engaged. AE: Nathan Webb positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($67,000). Health: Yellow. Outcome: Renewal Up."
Meridia Health,001WBSLULZFY981,Manufacturing,LATAM,Derek Okafor,Nathan Webb,2023-08-11,2024-08-10,86000,99000,13000,Renewal Up,No,,69,Yellow,66,66,72,64,77,80,Low executive engagement,"CSM: Derek Okafor proactively identified and resolved an integration risk ahead of renewal. AE: Nathan Webb positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($13,000). Health: Yellow. Outcome: Renewal Up."
Prism AI,001EEURXHW0IC1L,Logistics,Canada,James Thornton,Nathan Webb,2023-08-15,2024-08-14,522000,522000,0,Renewal Flat,No,,72,Yellow,65,69,70,78,79,59,Missed QBR Q3,CSM: James Thornton delivered ROI report in Q3; executive team cited measurable value. AE: Nathan Webb positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Ecliptic Partners,001P7IYF0D0IWF3,Media & Entertainment,DACH,James Thornton,Jason Whitmore,2023-03-14,2024-03-13,118000,136000,18000,Renewal Up,No,,50,Yellow,48,44,61,55,44,44,Integration stalled,"CSM: James Thornton proactively identified and resolved an integration risk ahead of renewal. AE: Jason Whitmore positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($18,000). Health: Yellow. Outcome: Renewal Up."
Aether AI,001YN6SJCHZJQ8C,Manufacturing,Middle East,James Thornton,Ryan Callahan,2023-04-12,2024-04-11,384000,495000,111000,Renewal Up,No,,91,Green,90,85,90,94,100,81,Competitor evaluation in progress,"CSM: James Thornton reports strong adoption and positive QBR outcomes. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($111,000). Health: Green. Outcome: Renewal Up."
Azure Analytics,001UZB7KR0AYMK9,Insurance,UK & Ireland,Sarah Mitchell,Jason Whitmore,2023-09-24,2024-09-23,570000,748000,178000,Renewal Up,No,,56,Yellow,68,55,68,46,45,42,Competitor evaluation in progress,"CSM: Sarah Mitchell reports strong adoption and positive QBR outcomes. AE: Jason Whitmore closed renewal with a 31% ARR increase. Prediction: Likely to renew. ARR movement: up ($178,000). Health: Yellow. Outcome: Renewal Up."
Nimbus Cloud,0015YPUPLVQEXUY,Insurance,Midwest US,Lauren Chu,Ethan Graves,2023-03-02,2024-03-01,33000,33000,0,Renewal Flat,No,,85,Green,93,88,68,84,93,82,Declining usage trend,CSM: Lauren Chu established multi-threaded relationships across IT and business units. AE: Ethan Graves positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Catalyst Labs,0014FBL98K03W0F,Telecommunications,Nordics,Priya Nair,Ryan Callahan,2023-02-10,2024-02-10,33000,33000,0,Renewal Flat,No,,90,Green,84,95,94,95,83,95,Open critical support tickets,CSM: Priya Nair reports strong adoption and positive QBR outcomes. AE: Ryan Callahan aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Aether Health,001RSVZN4REGB1A,Telecommunications,Southwest US,Derek Okafor,Brooke Sanders,2023-07-27,2024-07-26,127000,177000,50000,Renewal Up,No,,62,Yellow,46,70,71,55,68,60,Champion departure risk,"CSM: Derek Okafor navigated a champion change successfully; new stakeholder is engaged. AE: Brooke Sanders closed renewal with a 39% ARR increase. Prediction: Likely to renew. ARR movement: up ($50,000). Health: Yellow. Outcome: Renewal Up."
Prism Technologies,001V3ZO7UTXZBDQ,Logistics,APAC,Natalie Bergmann,Ethan Graves,2023-06-05,2024-06-04,325000,325000,0,Renewal Flat,No,,56,Yellow,56,51,55,63,59,69,Low executive engagement,CSM: Natalie Bergmann proactively identified and resolved an integration risk ahead of renewal. AE: Ethan Graves closed renewal with a 0% ARR increase. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Onyx Dynamics,001PWBSF3Q0E27Z,Financial Services,Midwest US,Marcus Rivera,Chloe Dupont,2023-02-16,2024-02-16,51000,35000,-16000,Renewal Down,No,,86,Green,84,94,88,94,72,94,Champion departure risk,"CSM: Marcus Rivera navigated a champion change successfully; new stakeholder is engaged. AE: Chloe Dupont is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: down ($16,000). Health: Green. Outcome: Renewal Down."
Zenith AI,001QNSN2S8NN16U,Technology,LATAM,Priya Nair,David Kim,2023-03-09,2024-03-08,276000,0,-276000,Churn,Yes,Product did not meet evolving use-case requirements,21,Red,19,15,15,29,30,64,Champion departure risk,"CSM: Priya Nair maintained regular cadence but could not overcome the executive sponsor departure. AE: David Kim attempted a commercial restructure but the account chose not to renew. Prediction: Account did not renew. Final ARR lost: $276,000. Reason: Product did not meet evolving use-case requirements"
Momentum Solutions,001WJQ4TA5IVROC,Professional Services,Australia & NZ,Natalie Bergmann,Jason Whitmore,2023-03-16,2024-03-15,325000,0,-325000,Churn,Yes,Lost internal champion — project deprioritized,88,Green,100,100,83,78,82,81,Low executive engagement,"CSM: Natalie Bergmann noted declining usage for two quarters; remediation plan was not adopted. AE: Jason Whitmore attempted a commercial restructure but the account chose not to renew. Prediction: Account did not renew. Final ARR lost: $325,000. Reason: Lost internal champion — project deprioritized"
Nexus Data,001UVLDD9FKXZUU,Insurance,Northeast US,Tyler Henson,Alicia Torres,2023-08-30,2024-08-29,691000,959000,268000,Renewal Up,No,,58,Yellow,66,51,52,53,70,54,Single-threaded relationship,"CSM: Tyler Henson reports strong adoption and positive QBR outcomes. AE: Alicia Torres aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($268,000). Health: Yellow. Outcome: Renewal Up."
Horizon Group,001ZJSSZWD0W9RY,Professional Services,Middle East,Lauren Chu,Nathan Webb,2023-04-03,2024-04-02,680000,849000,169000,Renewal Up,No,,71,Yellow,65,73,75,76,68,86,Declining usage trend,"CSM: Lauren Chu proactively identified and resolved an integration risk ahead of renewal. AE: Nathan Webb closed renewal with a 24% ARR increase. Prediction: Likely to renew. ARR movement: up ($169,000). Health: Yellow. Outcome: Renewal Up."
Ecliptic Ventures,001Z9AAWE429OMU,Manufacturing,LATAM,Derek Okafor,Jason Whitmore,2023-07-22,2024-07-21,205000,0,-205000,Churn,Yes,Internal budget cuts eliminated the software category,19,Red,16,16,23,24,17,69,Low executive engagement,"CSM: Derek Okafor noted declining usage for two quarters; remediation plan was not adopted. AE: Jason Whitmore offered a significant discount; budget freeze made renewal untenable. Prediction: Account did not renew. Final ARR lost: $205,000. Reason: Internal budget cuts eliminated the software category"
Radiant Platforms,001WBGLMY62XRW6,Insurance,APAC,Connor Walsh,Nathan Webb,2023-07-01,2024-06-30,117000,124000,7000,Renewal Up,No,,58,Yellow,66,56,49,58,63,61,Competitor evaluation in progress,"CSM: Connor Walsh established multi-threaded relationships across IT and business units. AE: Nathan Webb aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($7,000). Health: Yellow. Outcome: Renewal Up."
Summit Partners,001KB9W4UOV51ZL,Insurance,Southwest US,James Thornton,Chloe Dupont,2023-04-14,2024-04-13,51000,51000,0,Renewal Flat,No,,77,Green,74,86,90,69,66,76,Missed QBR Q3,CSM: James Thornton delivered ROI report in Q3; executive team cited measurable value. AE: Chloe Dupont is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Atlas Analytics,001S26FMR5LL1D9,Media & Entertainment,UK & Ireland,Derek Okafor,Ryan Callahan,2023-08-28,2024-08-27,91000,117000,26000,Renewal Up,No,,91,Green,100,98,85,82,91,100,Low executive engagement,"CSM: Derek Okafor reports strong adoption and positive QBR outcomes. AE: Ryan Callahan aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($26,000). Health: Green. Outcome: Renewal Up."
Nexus Group,001SXLUL6LGJLPE,Professional Services,France & Benelux,James Thornton,Ryan Callahan,2023-05-06,2024-05-05,42000,33000,-9000,Renewal Down,No,,79,Green,72,75,86,80,86,79,Missed QBR Q3,"CSM: James Thornton delivered ROI report in Q3; executive team cited measurable value. AE: Ryan Callahan positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: down ($9,000). Health: Green. Outcome: Renewal Down."
Vanguard Systems,001L6TBB6BNDOZ6,Manufacturing,Canada,Tyler Henson,Alicia Torres,2023-08-22,2024-08-21,428000,465000,37000,Renewal Up,No,,70,Yellow,71,73,70,74,66,51,Champion departure risk,"CSM: Tyler Henson proactively identified and resolved an integration risk ahead of renewal. AE: Alicia Torres is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($37,000). Health: Yellow. Outcome: Renewal Up."
Trident Data,001X1Q8F6JNG7L4,Media & Entertainment,Southeast US,Sarah Mitchell,Megan Foster,2024-01-01,2024-12-31,137000,151000,14000,Renewal Up,No,,73,Yellow,74,73,86,64,68,83,Competitor evaluation in progress,"CSM: Sarah Mitchell reports strong adoption and positive QBR outcomes. AE: Megan Foster closed renewal with a 10% ARR increase. Prediction: Likely to renew. ARR movement: up ($14,000). Health: Yellow. Outcome: Renewal Up."
Solara Software,001CKQVIIFRCHYP,Government,Southwest US,Marcus Rivera,Ethan Graves,2023-06-16,2024-06-15,645000,707000,62000,Renewal Up,No,,67,Yellow,69,69,50,71,77,70,Low NPS score,"CSM: Marcus Rivera established multi-threaded relationships across IT and business units. AE: Ethan Graves closed renewal with a 9% ARR increase. Prediction: Likely to renew. ARR movement: up ($62,000). Health: Yellow. Outcome: Renewal Up."
Solara Group,0013G8CD31NRXD3,Media & Entertainment,France & Benelux,Priya Nair,David Kim,2023-06-26,2024-06-25,200000,234000,34000,Renewal Up,No,,68,Yellow,67,74,73,69,61,61,None identified,"CSM: Priya Nair delivered ROI report in Q3; executive team cited measurable value. AE: David Kim closed renewal with a 16% ARR increase. Prediction: Likely to renew. ARR movement: up ($34,000). Health: Yellow. Outcome: Renewal Up."
Atlas Platforms,001A9OEKNTBZ3M5,Logistics,Australia & NZ,Aisha Patel,Samantha Lowe,2023-07-16,2024-07-15,320000,397000,77000,Renewal Up,No,,71,Yellow,79,69,69,69,70,74,Open critical support tickets,"CSM: Aisha Patel navigated a champion change successfully; new stakeholder is engaged. AE: Samantha Lowe positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($77,000). Health: Yellow. Outcome: Renewal Up."
Cascade Networks,001F9YECAZRP9DX,Professional Services,Midwest US,Tyler Henson,Nathan Webb,2023-01-04,2024-01-04,133000,133000,0,Renewal Flat,No,,83,Green,82,79,83,92,80,78,Competitor evaluation in progress,CSM: Tyler Henson proactively identified and resolved an integration risk ahead of renewal. AE: Nathan Webb positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Nova Intelligence,0014ISOTN9UZERY,Media & Entertainment,France & Benelux,Natalie Bergmann,Jason Whitmore,2023-10-24,2024-10-23,71000,102000,31000,Renewal Up,No,,56,Yellow,58,70,61,44,49,57,None identified,"CSM: Natalie Bergmann reports strong adoption and positive QBR outcomes. AE: Jason Whitmore positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($31,000). Health: Yellow. Outcome: Renewal Up."
